customer_id,signup_date,cohort_month,last_purchase_date,days_since_last_purchase,num_purchases,avg_order_value_inr,total_spent_inr,support_tickets,last_support_date,region,segment,is_churned_180d
CUST100000,2025-08-02,2025-08,2025-08-28,20.0,4,855.0,3420,0,,Delhi,Mid-Value,0
CUST100001,2022-08-17,2022-08,2025-08-31,17.0,1,66.0,66,0,,Chennai,Low-Value,0
CUST100002,2022-02-21,2022-02,2024-07-12,432.0,3,198.0,594,0,,Mumbai,Low-Value,1
CUST100003,2023-07-18,2023-07,2025-01-03,257.0,3,167.0,501,0,,Chennai,Low-Value,1
CUST100004,2023-05-17,2023-05,,,0,154.0,0,0,,Hyderabad,Low-Value,1
CUST100005,2023-04-03,2023-04,2025-05-25,115.0,3,405.0,1215,0,,Bengaluru,Mid-Value,0
CUST100006,2022-10-13,2022-10,2024-08-30,383.0,2,127.0,254,1,2025-06-18,Other,Low-Value,1
CUST100007,2022-07-29,2022-07,2023-03-18,914.0,3,190.0,570,0,,Hyderabad,Low-Value,1
CUST100008,2025-01-21,2025-01,,,0,373.0,0,0,,Chennai,Low-Value,1
CUST100009,2022-06-28,2022-06,,,0,112.0,0,0,,Pune,Low-Value,1
CUST100010,2025-04-24,2025-04,2025-06-08,101.0,4,273.0,1092,1,2025-08-23,Pune,Mid-Value,0
CUST100011,2024-05-14,2024-05,2025-01-03,257.0,2,673.0,1346,1,2024-10-20,Pune,Mid-Value,1
CUST100012,2022-03-07,2022-03,2024-07-31,413.0,1,151.0,151,0,,Other,Low-Value,1
CUST100013,2022-03-03,2022-03,2024-04-05,530.0,3,763.0,2289,0,,Bengaluru,Mid-Value,1
CUST100014,2022-07-11,2022-07,2023-07-08,802.0,4,212.0,848,0,,Bengaluru,Low-Value,1
CUST100015,2023-03-24,2023-03,2024-10-10,342.0,4,501.0,2004,0,,Hyderabad,Mid-Value,1
CUST100016,2023-04-22,2023-04,2024-12-21,270.0,1,167.0,167,0,,Bengaluru,Low-Value,1
CUST100017,2024-10-31,2024-10,2025-01-22,238.0,2,580.0,1160,0,,Delhi,Mid-Value,1
CUST100018,2025-05-17,2025-05,2025-07-25,54.0,3,316.0,948,0,,Bengaluru,Low-Value,0
CUST100019,2022-02-24,2022-02,2024-08-04,409.0,2,586.0,1172,0,,Bengaluru,Mid-Value,1
CUST100020,2025-02-23,2025-02,2025-05-31,109.0,3,261.0,783,0,,Delhi,Low-Value,0
CUST100021,2023-02-12,2023-02,2023-11-30,657.0,4,629.0,2516,1,2024-03-28,Hyderabad,Mid-Value,1
CUST100022,2025-08-23,2025-08,2025-08-29,19.0,1,794.0,794,2,2025-08-25,Hyderabad,Low-Value,0
CUST100023,2025-01-21,2025-01,2025-07-02,77.0,3,444.0,1332,1,2025-08-04,Kolkata,Mid-Value,0
CUST100024,2024-05-09,2024-05,2024-10-01,351.0,3,275.0,825,0,,Kolkata,Low-Value,1
CUST100025,2023-03-28,2023-03,2025-03-15,186.0,3,335.0,1005,0,,Mumbai,Mid-Value,1
CUST100026,2024-07-08,2024-07,2025-05-21,119.0,5,147.0,735,0,,Delhi,Low-Value,0
CUST100027,2025-04-21,2025-04,,,0,475.0,0,0,,Bengaluru,Low-Value,1
CUST100028,2023-07-24,2023-07,2023-11-02,685.0,1,664.0,664,0,,Mumbai,Low-Value,1
CUST100029,2022-01-14,2022-01,2022-07-12,1163.0,4,1412.0,5648,0,,Hyderabad,High-Value,1
CUST100030,2022-11-23,2022-11,,,0,1149.0,0,0,,Bengaluru,Low-Value,1
