ticket_id,customer_id,ticket_date,issue_type,resolution_time_days,satisfaction_score
T200000,CUST100006,2023-08-02,Delivery,1,4
T200001,CUST100010,2025-08-20,Other,2,4
T200002,CUST100011,2025-01-22,Returns,2,4
T200003,CUST100021,2023-07-22,Product,0,4
T200004,CUST100022,2025-08-29,Returns,0,4
T200005,CUST100022,2025-08-27,Product,4,4
T200006,CUST100023,2025-06-07,Returns,1,3
T200007,CUST100048,2024-01-30,Payment,0,4
T200008,CUST100049,2025-02-03,Returns,0,4
T200009,CUST100050,2025-07-23,Tech,0,4
T200010,CUST100059,2024-01-21,Payment,5,4
T200011,CUST100060,2025-04-10,Returns,0,4
T200012,CUST100075,2025-08-30,Delivery,2,2
T200013,CUST100080,2025-03-21,Returns,0,5
T200014,CUST100081,2024-12-04,Product,2,2
T200015,CUST100088,2024-02-21,Tech,2,4
T200016,CUST100088,2023-09-17,Delivery,0,2
T200017,CUST100090,2023-04-30,Delivery,0,4
T200018,CUST100092,2025-06-15,Delivery,4,3
T200019,CUST100093,2025-08-23,Other,1,3
T200020,CUST100094,2025-02-07,Delivery,0,4
T200021,CUST100110,2025-02-20,Delivery,5,5
T200022,CUST100111,2025-05-20,Tech,0,4
T200023,CUST100115,2025-03-17,Tech,5,4
T200024,CUST100116,2024-06-03,Other,0,4
T200025,CUST100117,2025-03-24,Returns,2,4
T200026,CUST100117,2025-08-21,Product,3,3
T200027,CUST100127,2024-10-21,Product,4,4
T200028,CUST100136,2025-03-04,Product,2,4
T200029,CUST100136,2025-05-21,Payment,0,3
T200030,CUST100136,2025-03-08,Payment,10,4
T200031,CUST100141,2025-08-21,Returns,1,4
T200032,CUST100143,2024-06-18,Other,2,4
T200033,CUST100143,2025-05-14,Payment,0,1
T200034,CUST100156,2025-08-24,Payment,1,3
T200035,CUST100158,2025-08-18,Returns,6,5
T200036,CUST100159,2023-05-09,Returns,0,4
T200037,CUST100166,2025-07-07,Delivery,0,5
T200038,CUST100167,2024-01-02,Tech,1,4
T200039,CUST100167,2023-12-21,Returns,0,5
T200040,CUST100167,2024-10-04,Payment,1,5
T200041,CUST100170,2022-12-02,Tech,4,4
T200042,CUST100178,2025-06-12,Tech,2,4
T200043,CUST100183,2022-12-25,Returns,3,5
T200044,CUST100184,2025-03-04,Tech,0,3
T200045,CUST100186,2023-10-16,Payment,3,2
T200046,CUST100190,2025-03-18,Payment,1,3
T200047,CUST100192,2025-02-01,Payment,1,3
T200048,CUST100193,2023-11-07,Product,1,5
T200049,CUST100195,2025-06-29,Tech,0,4
T200050,CUST100202,2024-08-30,Product,7,4
T200051,CUST100206,2023-11-04,Product,3,4
T200052,CUST100211,2023-12-28,Tech,8,5
T200053,CUST100212,2024-09-06,Other,0,4
T200054,CUST100216,2023-12-05,Other,0,5
T200055,CUST100219,2024-11-16,Tech,3,2
T200056,CUST100221,2025-03-07,Payment,2,3
T200057,CUST100222,2024-05-02,Product,1,4
T200058,CUST100223,2023-12-16,Other,1,4
T200059,CUST100224,2025-02-20,Tech,14,3
T200060,CUST100232,2025-04-07,Tech,1,4
T200061,CUST100233,2025-07-04,Tech,1,3
T200062,CUST100243,2025-09-01,Other,0,4
T200063,CUST100251,2023-05-22,Payment,2,5
T200064,CUST100252,2025-05-27,Other,3,5
T200065,CUST100254,2025-08-15,Delivery,0,3
T200066,CUST100255,2025-05-16,Payment,0,4
T200067,CUST100257,2023-05-12,Returns,5,5
T200068,CUST100261,2024-06-02,Other,0,2
T200069,CUST100280,2025-04-08,Tech,5,2
T200070,CUST100286,2025-04-29,Other,4,3
T200071,CUST100289,2025-01-12,Delivery,1,5
T200072,CUST100300,2025-06-22,Tech,2,3
T200073,CUST100309,2025-06-30,Other,4,4
T200074,CUST100311,2023-11-17,Other,1,2
T200075,CUST100312,2024-12-28,Delivery,1,4
T200076,CUST100318,2023-11-05,Other,3,4
T200077,CUST100318,2025-08-09,Other,3,4
T200078,CUST100321,2024-08-20,Other,1,1
T200079,CUST100328,2023-11-12,Tech,1,4
T200080,CUST100329,2024-04-09,Returns,0,4
T200081,CUST100329,2023-12-26,Delivery,0,5
T200082,CUST100348,2025-06-25,Other,1,3
T200083,CUST100351,2024-10-19,Tech,0,4
T200084,CUST100356,2025-06-02,Product,2,4
T200085,CUST100358,2025-06-09,Tech,0,5
T200086,CUST100359,2025-09-01,Payment,2,4
T200087,CUST100365,2023-11-06,Returns,2,2
